0,[(u'risk management', 0.00041316774915942317), (u'flood risk', 0.0003604754141426952), (u'flood warnings', 0.00029514144433879299), (u'coastal change', 0.00028300233940970713), (u'coastal erosion', 0.00027845789396154213), (u'flood risk management', 0.00023931025694215094), (u'erosion risk', 0.0002273682498695481), (u'aggregate industries', 0.00022283925228667388)]
1,[(u'access to the countryside', 0.00014799964860575589), (u'application for an environmental permit', 0.00014019677356039622), (u'restrictions from recent floods', 0.00013487902280307518), (u'navigation restrictions from recent floods', 0.00013487902280307518), (u'navigation restrictions', 0.00013487902280307518), (u'permit application form', 0.00012947343780727493), (u'application forms', 0.00012462459859726867), (u'salmon radio', 0.0001241181992815011)]
2,[(u'rt hon', 0.00035760130431656618), (u'paterson part', 0.00035391105567759615), (u'rt hon owen paterson part', 0.00035391105567759615), (u'hon owen paterson part', 0.00035391105567759615), (u'government transparency', 0.00034263446980798226), (u'involved policies publications consultations statistics announcements home foi', 0.00028724367197415754), (u'publications consultations statistics announcements home foi', 0.00028724367197415754), (u'home foi', 0.00028724367197415754)]
3,[(u'nitrogen dioxide', 0.00031931978726284675), (u'air quality', 0.00025569826253592611), (u'water services', 0.00024076629182736306), (u'quality plan', 0.0001941900863221891), (u'air quality plan', 0.00016314435422459206), (u'mr john', 0.00014174370243917492), (u'mine water', 0.00013877048351104883), (u'onshore oil', 0.00011407583730288972)]
4,[(u'climate change', 0.00047388219038610306), (u'umbrella agreement', 0.00038850727861382549), (u'rate certificate', 0.00038482619649721396), (u'change agreements', 0.00036202596909626551), (u'climate change agreements', 0.00035797616062798149), (u'reduced rate', 0.00028481588571753632), (u'development greenhouse', 0.00027765819634510388), (u'sustainable development greenhouse gas emissions', 0.00027765819634510388)]
5,[(u'bovine tb', 0.00029808133501967195), (u'assistive technology', 0.00027262174789863898), (u'bovine tuberculosis', 0.0002182746537080998), (u'transfer station', 0.00021068174496188981), (u'george eustice', 0.00020119893248408258), (u'eustice mp part', 0.0002007735473574225), (u'george eustice mp part', 0.00020077354735742226), (u'use. figures', 0.00018773848816235422)]
6,[(u'water ref', 0.00025889950338236958), (u'assistive technology', 0.00014274855906504331), (u'sub-water table quarries', 0.00013674549556892524), (u'table quarries', 0.00013674549556892524), (u'bathing water', 0.00011746127573495434), (u'economic evaluation of inland fisheries', 0.00011577177043381852), (u'economic evaluation of inland', 0.00011577177043381852), (u'evaluation of inland fisheries', 0.00011577177043381852)]
7,[(u'countryside stewardship', 0.0010093626006242851), (u'statement of priorities', 0.00062916065891517289), (u'abstraction licensing', 0.00050395597306628439), (u'stewardship statement', 0.00047284069152727525), (u'stewardship statement of priorities', 0.00047284069152727525), (u'commission natural england', 0.00033689196324126813), (u'forestry commission natural england', 0.00033689196324126813), (u'assistive technology', 0.00033079145854551101)]
8,[(u'freshwater fisheries', 0.00050051116708095848), (u'northumbrian water', 0.00049712768705224006), (u'environment agency', 0.00034403842714983841), (u'illegal fishing', 0.00019212795341620631), (u'flood risk', 0.0001502709453280995), (u'flood defence', 0.00014918118809387001), (u'press release', 0.00014825045133879752), (u'industrial waste', 0.00014778781158122163)]
9,[(u'flood management', 0.00045244939490012649), (u'pension fund', 0.00045043752879882161), (u'november applies', 0.00032394477467169501), (u'food brief', 0.00025291540184901244), (u'lynemouth power', 0.00022940446313020403), (u'assistive technology', 0.00022855728171436153), (u'kinswood eggs', 0.00020881197951087255), (u'oakland farms', 0.00020616393951533045)]
