0,[(u'river/NN_scheme/NN', 0.0013470194777234566), (u'agency/NN_proposal/NN', 0.0012670693405852534), (u'notice/NN_change/NN', 0.00093381466933737246), (u'cumulative/JJ_effect/NN', 0.00087988308698166192), (u'hydropower/JJ', 0.00075209186978028662), (u'interceptor/NN', 0.00065073847611436168), (u'hydropower/NN', 0.00057877377589987125), (u'davy/NN', 0.00054011896181994045)]
1,[(u'nitrogen/NN_dioxide/NN', 0.0017844840172066888), (u'ba/NN', 0.001540463070626531), (u'quality/NN_plan/NN', 0.0014731337772253693), (u'nitrogen/NN', 0.0014191915310741053), (u'dioxide/NN', 0.001408086265945933), (u'designation/NN', 0.0013000929584657491), (u'plan/NN_nitrogen/NN', 0.0012770863219672751), (u'conservation/NN', 0.0011624535389906515)]
2,[(u'ex/NN', 0.0039351427450410835), (u'freshwater/JJ_fishery/NN', 0.003115735890060603), (u'notice/NN_ex/NN', 0.00171697818556948), (u'figure/NN', 0.0016902366350488951), (u'illegal/JJ_fishing/NN', 0.001293354528694635), (u'force/NN_environment/NN', 0.0012524369353232919), (u'sister/NN', 0.0012403964708464867), (u'weir/NN', 0.0011415538132916842)]
3,[(u'flood/NN', 0.011686384064379846), (u'flooding/NN', 0.0053741145466281587), (u'river/NN', 0.0051282385935968637), (u'coastal/JJ', 0.0047583406588055984), (u'coastal/JJ_change/NN', 0.0035866498814020463), (u'risk/NN', 0.0035855415270940115), (u'fishing/NN', 0.0035765437869415702), (u'flood/NN_risk/NN', 0.003501753854395898)]
4,[(u'tr/NN', 0.0030818737297057326), (u'rh/NN', 0.0028224066370573508), (u'fund/NN_annual/JJ', 0.0019526492986151759), (u'factual/JJ_change/NN', 0.0015804991733557767), (u'announcement/NN_gov/NN', 0.0013084617650193449), (u'affair/NN_release/NN', 0.0013036233000770583), (u'transfer/NN_station/NN', 0.0012899357262185092), (u'release/NN_date/NN', 0.0012562023768207251)]
5,[(u'notice/NN_application/NN', 0.010453184021358941), (u'groundwater/NN_activity/NN', 0.0091948314341861147), (u'consultation/NN_period/NN', 0.0090961684831387269), (u'current/JJ_licence/NN', 0.0086288992804350369), (u'discharge/NN', 0.0061438874836616288), (u'application/NN_html/NN', 0.0052756760390465412), (u'installation/NN', 0.0049746342598598406), (u'rainfall/NN_river/NN', 0.0037733205153532502)]
6,[(u'fund/NN', 0.003483961221635321), (u'location/NN', 0.0021888074866982894), (u'agreement/NN_environment/NN', 0.002177516279187418), (u'deadline/NN', 0.0021373105325209825), (u'application/NN', 0.0021108435377596804), (u'european/JJ', 0.0020852968901902877), (u'oc/JJ', 0.0020352469190133486), (u'regional/JJ_development/NN', 0.0019908371333328379)]
7,[(u'standard/JJ_rule/NN', 0.002252700325521466), (u'sy/NN', 0.0018771407249737115), (u'standard/JJ', 0.001749665235449033), (u'sector/NN_gov/NN', 0.0016789796845231508), (u'rule/NN', 0.0012915485089720466), (u'tarmac/NN', 0.0012879561570429637), (u'rule/NN_environmental/JJ', 0.0012306940733208432), (u'application/NN_environmental/JJ', 0.0012264058794308305)]
8,[(u'public/NN_environment/NN', 0.0041428757214601545), (u'limited/JJ', 0.0029729118208184878), (u'installation/NN', 0.0029347482981264038), (u'environmental/JJ_permit/NN', 0.0027479442435464508), (u'permit/NN_gov/NN', 0.0025038797552869906), (u'son/NN', 0.0019264254130210419), (u'discharge/NN', 0.0018944180792904905), (u'guidance/NN_note/NN', 0.0017416761211746471)]
9,[(u'landfill/NN', 0.0026677435015616787), (u'cottage/NN', 0.0020952423242639935), (u'weekly/JJ', 0.0019721468279546143), (u'flood/NN_coastal/JJ', 0.0017854999956670903), (u'agency/NN_waste/NN', 0.0016329747846579529), (u'erosion/NN_risk/NN', 0.0014593088273297022), (u'hospitality/NN', 0.0014109937699756782), (u'gl/NN', 0.0012963388120707895)]
10,[(u'nuclear/JJ', 0.0027558693145563608), (u'protected/JJ_food/NN', 0.0026848846925468903), (u'boat/NN', 0.0025749357577915127), (u'protected/JJ', 0.0022514920631432384), (u'radioactive/JJ', 0.0022011266886902939), (u'food/NN_scheme/NN', 0.0013290630556942189), (u'waterway/NN', 0.0013286142461988457), (u'product/NN', 0.0013201006109062458)]
11,[(u'advertisement/NN', 0.027807642278352335), (u'river/NN_restriction/NN', 0.0084909846737261201), (u'restriction/NN', 0.0069289999085515889), (u'water/NN_discharge/NN', 0.0066486668102958921), (u'restriction/NN_notice/NN', 0.0050022266677711372), (u'priority/NN', 0.004721111714993698), (u'river/NN', 0.0045272410769004135), (u'countryside/NN_stewardship/NN', 0.0043658464940237694)]
12,[(u'cm/NN', 0.0022155235541198443), (u'medway/NN', 0.0021524076386626794), (u'navigation/NN', 0.0020962470520997402), (u'river/NN_medway/NN', 0.0017973354231913543), (u'limited/NN', 0.0015400225347414547), (u'proposal/NN_designation/NN', 0.001261848736631221), (u'bp/NN', 0.0011137849661850142), (u'closure/NN', 0.0010884686847896174)]
13,[(u'anaerobic/JJ', 0.0011387388714994566), (u'digestion/NN', 0.0010756382347156276), (u'anaerobic/JJ_digestion/NN', 0.0010720680922581846), (u'shipment/NN', 0.0010605417512659604), (u'biogas/NN', 0.00088623899561103331), (u'boater/NN', 0.00081912509792971943), (u'newsletter/NN', 0.00078439615640938471), (u'waste/NN_incineration/NN', 0.00075100303838025631)]
14,[(u'agency/NN_access/NN', 0.0040170748333864231), (u'pension/NN_fund/NN', 0.002885581385752805), (u'rg/NN', 0.0018620417848349716), (u'external/JJ', 0.0012012186448451345), (u'current/JJ_scheme/NN', 0.0010251046454852555), (u'trial/NN', 0.0010229651651946605), (u'chapel/NN', 0.0009641766136723798), (u'exemption/NN_waste/NN', 0.00087754924582156486)]
15,[(u'period/NN_application/NN', 0.012227177367513485), (u'public/JJ_register/NN', 0.012219112535927166), (u'bovine/JJ', 0.0061079705688847213), (u'tb/NN', 0.0052030698587745275), (u'bovine/JJ_tb/NN', 0.0041000333727766215), (u'badger/NN', 0.003462859831833252), (u'abstract/JJ_water/NN', 0.0034031855497115614), (u'abstract/JJ', 0.003351687744241846)]
16,[(u'radioactive/JJ', 0.0033210059533735608), (u'radioactive/JJ_substance/NN', 0.0025168295905558507), (u'substance/NN', 0.0020906190848692524), (u'nr/NN', 0.001613265694177111), (u'rsr/NN', 0.0015559031865077814), (u'nuclear/JJ', 0.0013663452190939231), (u'substance/NN_regulation/NN', 0.0012184210697579955), (u'discharge/NN_disposal/NN', 0.0010333070527647934)]
17,[(u'application/NN_public/NN', 0.01135202755175611), (u'public/NN_environment/NN', 0.0071988715962916271), (u'climate/NN', 0.0055524366717699105), (u'climate/NN_change/NN', 0.0052348158025430939), (u'umbrella/NN', 0.0041983329500363412), (u'umbrella/NN_agreement/NN', 0.003650897240509945), (u'main/JJ_river/NN', 0.0032842952206831935), (u'water/NN_environmental/JJ', 0.0031091204764936492)]
18,[(u'ta/NN', 0.0035370750678476457), (u'pl/NN', 0.0030116450608972758), (u'thame/NN_water/NN', 0.0010368575690487733), (u'notice/NN_ta/NN', 0.00098941059549071059), (u'dh/NN', 0.00091754459422267211), (u'roach/NN', 0.00083471279031776884), (u'junior/NN', 0.00077222661337935457), (u'statutory/JJ_site/NN', 0.00076094787761254946)]
19,[(u'change/NN_agreement/NN', 0.0034480715369184208), (u'rate/NN_certificate/NN', 0.0024797213849778728), (u'reduced/JJ_rate/NN', 0.0023247943835834864), (u'reduced/JJ', 0.0019289005532975904), (u'sector/NN', 0.001860997141786689), (u'certificate/NN', 0.0018173289332805691), (u'demand/NN_reduction/NN', 0.0017476448345805104), (u'energy/NN_demand/NN', 0.0017406609019654045)]
20,[(u'assistive/JJ', 0.0067324545836820468), (u'assistive/JJ_technology/NN', 0.0067324545836098199), (u'technology/NN', 0.0063108177004133599), (u'waste/NN', 0.0046423931749262192), (u'accessible/JJ', 0.0044466902979145937), (u'water/NN', 0.0038702465222508961), (u'environment/NN_agency/NN', 0.0037583154850883184), (u'share/NN', 0.0030745666659755416)]
21,[(u'environment/NN_sustainable/JJ', 0.0021837597050979474), (u'sector/NN_association/NN', 0.0018812258316093038), (u'type/NN_waste/NN', 0.0011066082010127555), (u'waste/NN_code/NN', 0.00082824418790033755), (u'wastewater/NN_treatment/NN', 0.00082463789402153185), (u'pdo/NN', 0.00078747536539199709), (u'palm/NN', 0.00078663185557246139), (u'dragon/NN', 0.00077272320296308753)]
22,[(u'abstraction/NN_licensing/NN', 0.0045025557819087349), (u'alleviation/NN_scheme/NN', 0.0016421402654439813), (u'flood/NN_alleviation/NN', 0.0016085269465220473), (u'al/NN', 0.001404942876397797), (u'grace/NN', 0.001209658654724154), (u'power/NN_distribution/NN', 0.00096357926674945672), (u'western/JJ_power/NN', 0.00095908249472251739), (u'strategy/NN_gov/NN', 0.00089155766753951408)]
23,[(u'emission/NN_directive/NN', 0.0079373406729367386), (u'industrial/JJ_emission/NN', 0.007860871539889543), (u'permit/NN', 0.0072083380999894524), (u'industrial/JJ', 0.0063562117294356417), (u'directive/NN', 0.0060495707749777354), (u'decision/NN', 0.004916886972027747), (u'emission/NN', 0.004776956534306721), (u'directive/NN_environmental/JJ', 0.0037991202525266628)]
24,[(u'application/NN', 0.033557252156002006), (u'permit/NN_application/NN', 0.018465365638508778), (u'application/NN_advertisement/NN', 0.016175490699193173), (u'permit/NN', 0.015957678871906581), (u'environmental/JJ_permit/NN', 0.015241533344715475), (u'agency/NN_application/NN', 0.014429037690828171), (u'waste/NN_operation/NN', 0.011989857680506154), (u'environment/NN_agency/NN', 0.010248772198434376)]
