0,[(u'bovine/JJ', 0.035779582625446039), (u'tb/NN', 0.031297918293377219), (u'badger/NN', 0.018892442730165548), (u'tuberculosis/NN', 0.013387169379992942), (u'cattle/NN', 0.013242304263753005), (u'badger/JJ', 0.0093012852354205193), (u'disease/NN', 0.0085949116881809152), (u'sheep/NN', 0.0079269052843191478)]
1,[(u'sy/NN', 0.014884595262207843), (u'severn/NN', 0.011755502940569613), (u'qq/NN', 0.0062863237054225241), (u'chelmsford/NN', 0.0049345734146573452), (u'rowthorne/JJ', 0.0044006335804061547), (u'shawbury/NN', 0.0038741866710824578), (u'florence/NN', 0.0038741866710824578), (u'secondment/NN', 0.0037510535004067094)]
2,[(u'abstract/JJ', 0.023693068543335579), (u'adaptation/NN', 0.0141155692272305), (u'climate/NN', 0.011873329022991441), (u'appointment/NN', 0.0092907662304197083), (u'designation/NN', 0.0089179715376986116), (u'gl/NN', 0.0087619579091148276), (u'sewer/NN', 0.0078043424466908715), (u'round/NN', 0.0074376963862590271)]
3,[(u'mick/NN', 0.01023648441414079), (u'estimation/NN', 0.0085933331089383478), (u'dorrien/NN', 0.0064166133497887377), (u'afflux/JJ', 0.0063916800525019484), (u'manor/NN', 0.006364328561567518), (u'pw/NN', 0.0061976418322581264), (u'sutton/NN', 0.00583707954845259), (u'jt/NN', 0.0052998684471961127)]
4,[(u'fishing/NN', 0.020825640139550482), (u'fishery/NN', 0.0155707457569452), (u'angler/NN', 0.012958167437917726), (u'advertisement/NN', 0.011455952439634771), (u'trout/NN', 0.010409870476004689), (u'rg/NN', 0.0070128860963480687), (u'mcert/NN', 0.0063684018209965998), (u'brook/NN', 0.005401206775211647)]
5,[(u'cm/NN', 0.016578970985362491), (u'medway/NN', 0.012134082697373911), (u'rebound/NN', 0.0067272684255343003), (u'microplastic/NN', 0.0066875743566526093), (u'jd/NN', 0.0064310005513051743), (u'spray/NN', 0.0060549592494679397), (u'command/NN', 0.0058833955903016856), (u'silver/NN', 0.0055463915703918504)]
6,[(u'weekly/JJ', 0.022997971759624924), (u'hook/NN', 0.0096125192167200429), (u'la/JJ', 0.0083571674107176218), (u'allowance/NN', 0.0068789710837881771), (u'official/JJ', 0.006405982215763671), (u'lat/NN', 0.0047733787664196265), (u'ahwbe/JJ', 0.0042884070629613819), (u'mechancial/JJ', 0.0039957097272918718)]
7,[(u'abstraction/NN', 0.041310399639968604), (u'licensing/NN', 0.026313871173851897), (u'strategy/NN', 0.021600030444397466), (u'cam/NN', 0.018417398982886132), (u'sewerage/NN', 0.011195699378109717), (u'water/NN', 0.0081981121862989351), (u'ph/NN', 0.0066507179999951045), (u'bx/NN', 0.00649642976781163)]
8,[(u'tl/NN', 0.008501548430541267), (u'wastewater/NN', 0.0075547135162239622), (u'birley/NN', 0.0072804815772627221), (u'dragon/NN', 0.0071021107453100602), (u'jt/NN', 0.0066703716937126529), (u'bioinnovation/NN', 0.0062792845030383952), (u'ipsen/NN', 0.0062792845030383952), (u'eckert/NN', 0.0061102009583810443)]
9,[(u'impoundment/NN', 0.013501351784339564), (u'html/JJ', 0.0088428721178901437), (u'noise/NN', 0.0075465717777456892), (u'abstraction/NN', 0.0074064878592446075), (u'shiplake/NN', 0.0065004601050431335), (u'hydropower/JJ', 0.0061140634732263152), (u'tyre/NN', 0.0059661424819365694), (u'ep/NN', 0.0056443195841651521)]
