0,[(u'protected food', 0.00013337121283346379), (u'protected/JJ', 0.00011330128654490426), (u'issue gov skip main', 0.00010831989275718979), (u'issue gov skip', 0.00010831989275718979), (u'issue gov skip main content', 0.00010831989275718979), (u'issue gov', 0.00010831989275718979), (u'issue environment', 9.5499111476179811e-05), (u'agency radioactive', 7.3554470378475124e-05)]
1,[(u'fishing/NN', 0.00017394105559942881), (u'salmon/NN', 0.00010546846247115795), (u'cottage/NN', 0.00010329517656723983), (u'son/NN', 9.7085016850831517e-05), (u'farmer/NN', 9.2139234287971612e-05), (u'payment/NN', 7.4339040221744888e-05), (u'standard/JJ', 7.1992871497276659e-05), (u'metal/NN', 7.0442558257374004e-05)]
2,[(u'umbrella agreement', 0.00020943215162853125), (u'agreement/NN', 0.00019530785892334942), (u'climate change', 0.00012617389373593553), (u'climate/NN', 0.00012289865381663064), (u'boat/NN', 0.00012093754353108151), (u'greenhouse gas', 0.00011808545936219686), (u'sector/NN', 0.00011776372616947843), (u'gas emission', 0.00011510320598205717)]
3,[(u'flood plan', 0.00014691078995615565), (u'nitrogen dioxide', 8.7848396614043084e-05), (u'nitrogen/NN', 7.338655298057098e-05), (u'dioxide/NN', 7.2846192184063409e-05), (u'quality plan', 6.5736847736919083e-05), (u'water gov skip', 5.909661218936076e-05), (u'water gov', 5.909661218936076e-05), (u'water gov skip main', 5.909661218936076e-05)]
4,[(u'rainfall/NN', 0.00016511420467421996), (u'river flow summary', 0.00016027786682336215), (u'rainfall river flow summary', 0.00016027786682336215), (u'weekly rainfall river flow', 0.00015985454690756678), (u'weekly rainfall', 0.00015985454690756678), (u'weekly rainfall river', 0.00015985454690756678), (u'weekly rainfall river flow summary', 0.00015983693487532861), (u'flow summary', 0.00015977082703683111)]
5,[(u'bovine/JJ', 0.00012431797769992789), (u'badger/NN', 0.00010807544792626127), (u'badger cull', 0.00010442303624531998), (u'tb/NN', 8.919448084127664e-05), (u'sector association', 8.7510656020767163e-05), (u'bovine tb', 7.0201286794140019e-05), (u'eustice bovine', 6.6421061304605333e-05), (u'eustice bovine tuberculosis', 6.6259984110644338e-05)]
6,[(u'assistive/JJ', 0.00080118631095795932), (u'assistive technology', 0.00080118631095795812), (u'technology/NN', 0.00074736235991044011), (u'flood/NN', 0.00067102792250189652), (u'river/NN', 0.00058095653920722248), (u'accessible/JJ', 0.00052899167354187584), (u'environment agency', 0.00050568231081578687), (u'permit issue', 0.00043916121872563323)]
7,[(u'water limit', 0.00019548448164857592), (u'rate certificate', 0.00013034769773742006), (u'reduced rate certificate', 0.00012294253196394291), (u'reduced rate', 0.00012226309033828219), (u'water quality', 0.00011422551025278849), (u'environment agency water quality', 0.00011149431532356862), (u'agency water quality', 0.00011143744723374346), (u'reduced/JJ', 0.00010891350883184995)]
8,[(u'abstraction licensing', 0.00019820965579755244), (u'regulatory position', 7.5155838095381135e-05), (u'position statement', 7.5141741178841193e-05), (u'regulatory position statement', 7.2249912362869803e-05), (u'avian/JJ', 6.9513072988275129e-05), (u'volunteer/NN', 6.5403044272062182e-05), (u'sprint regatta', 6.0492418705173421e-05), (u'publish kb', 5.6384599682304344e-05)]
9,[(u'advertisement/NN', 0.0013507249787157961), (u'public register', 0.0010293051338691771), (u'operation/NN', 0.00081299231896327627), (u'register environment agency', 0.00053334082760946207), (u'application public', 0.00053316361374866367), (u'environment agency publish apply', 0.00048476199418534592), (u'agency publish apply', 0.00048347063406235444), (u'environment agency help improve', 0.00044994469533210274)]
