source,target,value
0,4,9
0,5,18
0,6,9
0,7,24
0,8,13
0,9,17
0,10,18
0,11,25
0,12,21
0,13,13
0,14,14
0,15,28
0,16,127
0,17,320
0,18,157
0,19,71
0,0,34
0,1,16
0,2,5
0,3,7
1,4,77
1,5,27
1,6,57
1,7,57
1,8,20
1,9,27
1,10,76
1,11,12
1,12,36
1,13,45
1,14,18
1,15,40
1,16,81
1,17,68
1,18,23
1,19,114
1,0,20
1,1,41
1,2,13
1,3,15
10,4,21
10,5,6
10,6,17
10,7,12
10,8,4
10,9,4
10,10,56
10,11,3
10,12,49
10,13,44
10,14,111
10,15,54
10,16,95
10,17,589
10,18,68
10,19,93
10,0,9
10,1,6
10,2,8
10,3,14
11,4,30
11,5,40
11,6,23
11,7,46
11,8,15
11,9,13
11,10,11
11,11,10
11,12,29
11,13,50
11,14,23
11,15,38
11,16,28
11,17,143
11,18,53
11,19,36
11,0,22
11,1,12
11,2,192
11,3,20
12,4,64
12,5,12
12,6,14
12,7,30
12,8,4
12,9,5
12,10,3
12,11,9
12,12,18
12,13,18
12,14,13
12,15,18
12,16,35
12,17,159
12,18,110
12,19,36
12,0,16
12,1,27
12,2,26
12,3,20
13,4,3
13,5,3
13,6,2
13,7,2
13,8,10
13,9,25
13,10,15
13,11,27
13,12,130
13,13,80
13,14,88
13,15,85
13,16,113
13,17,87
13,18,28
13,19,26
13,0,3
13,1,4
13,2,2
13,3,6
14,4,4
14,5,5
14,6,6
14,7,13
14,8,7
14,9,4
14,10,6
14,11,4
14,12,37
14,13,17
14,14,6
14,15,12
14,16,19
14,17,828
14,18,36
14,19,49
14,0,7
14,1,4
14,2,3
14,3,167
15,4,20
15,5,7
15,6,12
15,7,16
15,8,13
15,9,9
15,10,7
15,11,11
15,12,37
15,13,27
15,14,29
15,15,26
15,16,95
15,17,170
15,18,75
15,19,118
15,0,24
15,1,74
15,2,34
15,3,50
16,4,7
16,5,12
16,6,6
16,7,6
16,8,12
16,9,24
16,10,18
16,11,15
16,12,33
16,13,15
16,14,17
16,15,40
16,16,90
16,17,256
16,18,83
16,19,112
16,0,10
16,1,14
16,2,17
16,3,17
17,4,16
17,5,21
17,6,16
17,7,23
17,8,10
17,9,18
17,10,10
17,11,12
17,12,14
17,13,20
17,14,17
17,15,17
17,16,141
17,17,219
17,18,120
17,19,62
17,0,15
17,1,21
17,2,10
17,3,15
18,4,6
18,5,11
18,6,13
18,7,12
18,8,4
18,9,3
18,10,5
18,11,8
18,12,17
18,13,49
18,14,32
18,15,38
18,16,41
18,17,120
18,18,57
18,19,69
18,0,9
18,1,8
18,2,15
18,3,20
19,4,14
19,5,15
19,6,15
19,7,11
19,8,6
19,9,10
19,10,14
19,11,3
19,12,52
19,13,22
19,14,30
19,15,37
19,16,68
19,17,413
19,18,69
19,19,338
19,0,27
19,1,20
19,2,23
19,3,18
2,4,14
2,5,1
2,6,9
2,7,4
2,8,18
2,9,6
2,10,17
2,11,24
2,12,19
2,13,77
2,14,16
2,15,13
2,16,87
2,17,171
2,18,120
2,19,133
2,0,10
2,1,22
2,2,19
2,3,17
3,4,23
3,5,17
3,6,9
3,7,17
3,8,2
3,9,4
3,10,5
3,11,9
3,12,19
3,13,14
3,14,10
3,15,30
3,16,44
3,17,65
3,18,62
3,19,29
3,0,17
3,1,6
3,2,14
3,3,20
4,4,20
4,5,39
4,6,44
4,7,44
4,8,21
4,9,40
4,10,17
4,11,15
4,12,34
4,13,48
4,14,20
4,15,69
4,16,190
4,17,256
4,18,111
4,19,95
4,0,137
4,1,12
4,2,35
4,3,22
5,4,6
5,5,11
5,6,9
5,7,7
5,8,4
5,9,7
5,10,13
5,11,11
5,12,4
5,13,9
5,14,8
5,15,12
5,16,53
5,17,315
5,18,57
5,19,718
5,0,15
5,1,9
5,2,12
5,3,47
6,4,8
6,5,3
6,6,6
6,7,4
6,8,8
6,9,10
6,10,23
6,11,12
6,12,27
6,13,18
6,14,18
6,15,17
6,16,171
6,17,806
6,18,44
6,19,59
6,0,9
6,1,7
6,2,3
6,3,8
7,4,33
7,5,23
7,6,40
7,7,50
7,8,40
7,9,49
7,10,42
7,11,26
7,12,37
7,13,31
7,14,24
7,15,33
7,16,146
7,17,121
7,18,182
7,19,440
7,0,28
7,1,35
7,2,34
7,3,37
8,4,17
8,5,46
8,6,10
8,7,20
8,8,21
8,9,8
8,10,8
8,11,15
8,12,70
8,13,41
8,14,110
8,15,132
8,16,37
8,17,310
8,18,42
8,19,45
8,0,9
8,1,3
8,2,9
8,3,7
9,4,17
9,5,10
9,6,18
9,7,14
9,8,8
9,9,8
9,10,11
9,11,7
9,12,23
9,13,28
9,14,25
9,15,35
9,16,51
9,17,118
9,18,60
9,19,87
9,0,11
9,1,29
9,2,20
9,3,19
