source,target,value
0,0,45
0,1,29
0,10,32
0,11,22
0,12,22
0,13,138
0,14,6
0,15,57
0,16,43
0,17,61
0,18,10
0,19,42
0,2,12
0,3,28
0,4,91
0,5,36
0,6,26
0,7,21
0,8,34
0,9,41
1,0,89
1,1,116
1,10,110
1,11,222
1,12,207
1,13,49
1,14,30
1,15,98
1,16,107
1,17,77
1,18,58
1,19,147
1,2,110
1,3,37
1,4,304
1,5,89
1,6,58
1,7,235
1,8,198
1,9,104
2,0,71
2,1,110
2,10,60
2,11,52
2,12,15
2,13,18
2,14,215
2,15,94
2,16,50
2,17,61
2,18,63
2,19,144
2,2,43
2,3,32
2,4,67
2,5,20
2,6,150
2,7,69
2,8,19
2,9,23
3,0,64
3,1,32
3,10,51
3,11,74
3,12,73
3,13,40
3,14,181
3,15,79
3,16,67
3,17,75
3,18,36
3,19,63
3,2,40
3,3,44
3,4,83
3,5,31
3,6,36
3,7,31
3,8,181
3,9,44
4,0,145
4,1,68
4,10,368
4,11,47
4,12,106
4,13,33
4,14,265
4,15,113
4,16,78
4,17,92
4,18,97
4,19,220
4,2,62
4,3,32
4,4,93
4,5,478
4,6,137
4,7,53
4,8,81
4,9,70
5,0,74
5,1,247
5,10,36
5,11,222
5,12,36
5,13,26
5,14,42
5,15,151
5,16,18
5,17,27
5,18,41
5,19,113
5,2,71
5,3,41
5,4,81
5,5,106
5,6,54
5,7,97
5,8,97
5,9,25
6,0,28
6,1,79
6,10,75
6,11,30
6,12,55
6,13,38
6,14,14
6,15,74
6,16,41
6,17,79
6,18,78
6,19,88
6,2,64
6,3,63
6,4,90
6,5,127
6,6,110
6,7,61
6,8,50
6,9,113
7,0,120
7,1,32
7,10,153
7,11,50
7,12,30
7,13,321
7,14,62
7,15,36
7,16,187
7,17,52
7,18,46
7,19,108
7,2,97
7,3,38
7,4,119
7,5,31
7,6,134
7,7,55
7,8,147
7,9,76
8,0,186
8,1,47
8,10,289
8,11,72
8,12,63
8,13,43
8,14,403
8,15,70
8,16,152
8,17,154
8,18,77
8,19,173
8,2,96
8,3,62
8,4,144
8,5,125
8,6,464
8,7,64
8,8,112
8,9,68
9,0,124
9,1,107
9,10,89
9,11,43
9,12,30
9,13,33
9,14,16
9,15,82
9,16,61
9,17,119
9,18,31
9,19,107
9,2,202
9,3,39
9,4,197
9,5,284
9,6,93
9,7,765
9,8,41
9,9,35
