url,text
/government/publications/transport-of-animals-undertaking-to-cleanse-and-disinfect-vehicles,"Form for drivers of livestock or poultry vehicles to record where their vehicles will be cleansed and disinfected. Transport of animals: undertaking to cleanse and disinfect vehicles Preventing disease Animal and Plant Health Agency This form is for drivers of livestock or poultry vehicles who are leaving premises empty and have not cleansed and disinfected ( C&D ) their vehicles. Drivers must cleanse and disinfect their vehicle as soon as possible after unloading. C&D must be completed within 24 hours or before the vehicle is next used for carrying livestock or poultry, whichever is the soonest. If C&D is not completed on the premises, the driver must complete this form as a record of where C&D will be done. The vehicle may be inspected to check compliance with the Transport of Animals (Cleansing and Disinfection) Order."
/government/publications/exempt-markets-for-cattle-approved-premises,"Details of premises approved to operate as exempt markets for cattle in England and Wales. Exempt markets for cattle: approved premises Bovine TB Shows, fairs and markets Animal and Plant Health Agency Exempt markets allow the sale of animals from annually tested herds that have not been pre-movement tested when they should have been. The onward movement of cattle from exempt markets must be to one of the following: slaughter premises of origin TB approved finishing unit TB exempt finishing unit Cattle that have moved to non-exempt markets without meeting pre-movement testing requirements should only be permitted an exempt movement back to the premises from which they moved. Cattle keepers should contact the market before submitting animals to ensure the market is operating on the specified day. The document only lists some of the approved premises. For further details of exempt markets, please contact your local Animal and Plant Health Agency (APHA) Field Services."
/government/publications/seed-crop-inspection-reports,"Forms for crop inspectors to record the examination of crops to ensure they meet the requirements of the seed regulations. Seed crop inspection reports  Animal and Plant Health Agency Seeds marketing is regulated and, for most agricultural and vegetable species, only seeds which have been certified may be marketed. Crops entered for certification must be inspected by official or licensed inspectors to assess whether they meet the requirements of the seed regulations and standards. These forms are used to record the results of a crop inspection. Fees apply for entering crops for certification. For further information, see the guide to seed certification procedures and a brief guide to seed marketing"
/government/publications/seeds-for-export-application-for-sampling-and-testing,"Forms to apply for the sampling, sealing and testing of seeds for export. Seeds for export: application for sampling and testing  Animal and Plant Health Agency Please refer to the notes and conditions on the form CERT 9 before completing the application. One copy of each CERT 9 form must be completed for each seed lot. For further information, see the guide to seed certification procedures and the brief guide to seed marketing ."
/government/publications/seed-test-reports,"Forms for seed testing stations to record seed test results. Seed test reports  Animal and Plant Health Agency Seeds marketing is regulated and, for most agricultural and vegetable species, only seeds which have been certified may be marketed. Seeds must be sampled and tested to confirm whether they meet the standards for certification. A seed test report must be issued stating that the requirements have been achieved. These forms are used by official / licensed seed testing stations to record the results of seed tests. For further information, see the guide to seed certification procedures and a brief guide to seed marketing"
/government/publications/seed-certification-label-order-forms,"Order forms for official and special labels for seed certification. Seed certification: label order forms  Animal and Plant Health Agency Seeds marketing is regulated and, for most agricultural and vegetable species, only seeds which have been certified may be marketed. Certified seed must be labelled with official labels from the Animal and Plant Health Agency’s official label contractor. For further information, see the guide to seed certification procedures and the brief guide to seed marketing ."
/government/publications/seed-not-certified-application-to-export,"Form to apply to export seed which has met field seed standards but is not finally certified. Seed not certified: application to export  Animal and Plant Health Agency This form should be completed to export seed which was grown and inspected in England and Wales but final certification will be completed in another country. For further information, see the guide to seed certification procedures and the brief guide to seed marketing ."
/government/publications/zoo-inspections,"Zoos or zoo inspectors should use these forms when carrying out inspections. Zoo inspections  Department for Environment, Food & Rural Affairs Animal and Plant Health Agency Any zoo displaying wild animals not normally domesticated in Great Britain could be subject to licensing and inspection under the Zoo Licensing Act 1981 . Zoos licensed under the Zoo Licensing Act 1981 are inspected regularly. Zoo pre-inspection audit form (ZOO1) - zoos should complete this form before every formal inspection. This can help reduce the time spent carrying out the inspection, which will reduce the cost for the zoo Zoo inspection report form (ZOO2) - zoo inspectors should use this form when carrying out formal inspections at a licensed zoo Zoo licence inspection report form (ZOO3) - zoo inspectors should use this form when carrying out an inspection at a new zoo that hasn’t been licensed You will need to save a copy of this form to your computer before completing it. You will need to have Adobe Acrobat Reader 5.1 or later installed to use this form. You may need to download the latest copy of Adobe Acrobat Reader . Further information Zoo licence (England, Scotland and Wales) Zoo licence (Northern Ireland) Zoos policy"
/government/news/apha-at-rhs-chelsea-flower-show-2015,"Novel garden at RHS Chelsea 2015 highlights how sentinel trees are being used to detect global plant pest and disease threats. APHA garden at RHS Chelsea Flower Show highlights global pest threats  Animal and Plant Health Agency The garden is called Beyond Our Borders and has been commissioned by the Animal and Plant Health Agency (APHA). It shows how the UK government is working with overseas botanic gardens to protect our environment against alien pest and diseases. Plant sentinels Iconic British tree species are being used as ‘early warning’ sentinels (soldier or guard) in regions throughout the world to monitor and identify potential new plant pest and diseases that could threaten our natural environment. British trees have been planted in other countries where pests and diseases are present, and are monitored to see what affects the pests and diseases might have on them. Because our native trees do not have natural resistance built up to these threats, they are more likely to be severely affected. The project is designed to establish which pests and diseases post the biggest threat to British species, and this information is used to inform plans for prevention, eradication and control. Garden design In the Fresh Garden section, the eye-catching and innovative display features three different climatic zones (Australasia, Tropical and Arid) divided by water features representing oceans. Each zone contains a single iconic UK native tree sentinel standing among plants native to each climate. Set within the plants of each zone are coloured springs representing plant pest and diseases. These appear to emerge and disappear and some are stretched to create a wave motion over the top of each ocean. This represents the movement of plant pests and diseases within and between each zone, reflecting the threat to plant health. See [InlineAttachment:1] Garden designer Sarah Eberle commented: “The inspiration for the garden came from a new international project, led by the UK, aimed at creating a network of tree sentinels in botanical parks and gardens around the world. “I wanted to illustrate the danger of the transfer of plant pests and diseases across international borders and have done this by using springs to represent the plant pests and diseases, which are elusive and mobile.” Pests and diseases In the last few years, a number of new pests and diseases have emerged as significant risks to trees and plants in the UK including: Chalara fraxinea (Ash dieback) Phytophthora spp. Oak Processionary Moth Asian longhorn beetle Pests and diseases like these may not be significant in their native countries because: host plants may be more resistant, having grown up alongside them over thousands of years natural predators may be present environmental conditions can be different However, plants and trees in the UK may have little or no natural resistance, natural controls may not be present and the surrounding environment is different. Head of Plant Health Public Engagement at the APHA, Paul Beales, said: “The issue of the increase in the arrival, establishment and spread of plant pests is a global one, largely due to international trade and travel, and needs to be tackled as such. “The garden represents the need to work together and share information and knowledge on an international scale.” Government action Safeguarding plants and trees from pests and diseases is one of Defra’s four top priorities. Decisive action is being taken to help protect against the introduction and spread of plant pests and diseases. APHA is working with Botanic Gardens Conservation International (BGCI), as part of the International Plant Sentinel Network project. The network monitors tree sentinels in international botanic gardens and arboreta for damage by pests and diseases native to that country. It will help to: identify potential threats to native UK plants and trees before they are introduced improve the chances of eradication or control programmes stop their introduction in the first place How you can help Sentinel A sentinel is: a soldier or guard whose job is to stand and keep watch an indicator of the presence of disease Everyone can help conserve the UK environment be keeping an eye out for any serious pests and diseases that could threaten our plants and trees. You can do this by taking part in the OPAL (Open Air Laboratories network) Tree Health Survey . To help prevent the spread of plant pests and disease within and Beyond Our Borders you should: buy UK-produced seeds and plants where possible avoid bringing seeds, plants or cuttings home from trips abroad preferably plant small and enjoy watching your garden grow become familiar with new pest and disease threats, their hosts and symptoms Defra Chief Plant Health Officer, Nicola Spence, said: “It’s great that this year’s garden highlights the important work going on to identify, prevent and tackle pests and diseases that can harm our native plants and trees. “There are simple steps everyone can help with, such as keeping a look out for signs and reporting sightings of tree pests and diseases, and not bringing back plants from abroad, which will help to protect our countryside and wildlife.” Sponsors of the garden include Defra, the Shanghai Botanical Garden, Horticultural Trades Association and the Scottish Government."
/government/news/gold-at-rhs-chelsea-flower-show-for-the-apha-garden,"APHA garden awarded gold at this year’s RHS Chelsea Flower Show.  APHA garden at Chelsea Flower Show wins gold  Animal and Plant Health Agency Commissioned by the Animal and Plant Health Agency ( APHA ), the Beyond Our Borders garden highlights one way that global plant pest and disease threats are being monitored by the UK government. The garden was designed by multiple Chelsea gold winner Sarah Eberle. It brings to life the network of ‘plant sentinels’ (including UK native plants) which live outside their natural ranges in botanic gardens around the world. These plants are being monitored for pests and diseases that could potentially attack our native species. The garden is an eye-catching and innovative display featuring three climatic zones (Australasia, Arid and Tropical) divided by water features representing oceans. Each zone contains a British tree ‘sentinel’ standing among plants native to each area. Coiled springs and pulsing lights represent pests and diseases and their movement both within countries and across borders due to the increased trade in plants and plant material, global travel and natural spread. Garden designer Sarah Eberle commented: “It’s fantastic to have achieved a gold medal with this fresh garden. The Chelsea Flower Show offers an innovative and creative way to inform the public about how, by working together, we can protect our environment. “The coiled springs and pulsing lights in the garden have provided a novel talking point. I used these to illustrate the how plant pests and diseases, which are elusive and mobile, can be transferred across international borders” Sponsors of the Beyond Our Borders garden include: Department of Environment, Food and Rural Affairs (Defra) Botanic Gardens Conservation International Scottish Government Horticultural Trades Association For more information on the garden visit: www.plantsentinel.org/apha_rhschelsea/ See also the following news stories: APHA garden at Chelsea Flower Show highlights global pest threats British horticulture praised by Environment Secretary"
