target,source,value
0,0,1763
0,1,5
0,2,74
0,4,2
1,0,339
1,1,83
1,2,200
1,3,10
10,0,1272
10,1,112
10,2,279
10,3,37
10,4,9
11,0,477
11,2,95
11,3,5
12,0,490
12,1,16
12,2,83
12,3,21
12,4,3
13,0,607
13,1,23
13,2,738
13,3,31
13,4,7
14,0,507
14,1,60
14,2,72
14,3,64
14,4,19
15,0,25
15,2,5
15,3,180
15,4,1
16,0,1866
16,1,110
16,2,1
16,3,3
17,0,1660
17,1,98
17,2,239
17,3,16
17,4,52
18,0,471
18,1,15
18,2,25
18,3,1
18,4,81
19,0,307
19,1,45
19,2,2
2,0,158
2,1,24
2,2,21
2,3,1
3,0,964
3,1,28
3,2,58
3,3,1
3,4,13
4,0,75
4,1,4
4,2,6
4,3,1
4,4,1
5,0,2266
5,1,13
5,2,7
5,4,6
6,0,414
6,1,62
6,2,1
7,0,972
7,1,7
7,2,41
7,3,13
7,4,1
8,0,183
8,1,189
9,0,322
9,1,6
9,2,192
9,3,38
9,4,4
