url,text
/government/news/professor-dirk-pfeiffer-joins-apha,"Eminent veterinary epidemiologist, Professor Dirk Pfeiffer, joins APHA as Chief Epidemiologist on a part-time secondment.  Professor Dirk Pfeiffer joins APHA  Animal and Plant Health Agency Professor Dirk Pfeiffer joined the agency on 1 June, and is currently Head of the Veterinary Epidemiology, Economics and Public Health Group at the Royal Veterinary College ( RVC ). He will work with APHA ’s epidemiological scientists to strengthen and develop epidemiological capability in the agency. Kath Webster, Director of Scientific Services at APHA commented: I am really pleased that Professor Pfeiffer is joining us. This is a marvellous opportunity for APHA scientists to draw on his experience and will help to strengthen our disease prevention planning and disease management capability. Professor Pfeiffer is currently working on several projects covering animal health surveillance methods and animal diseases such as avian influenza, PPR (peste des petits ruminants) and African swine fever. On joining APHA , Professor Pfeiffer added: I am delighted to be taking on this exciting new role. I’m looking forward to leading and supporting scientists from across the agency in building epidemiological capability, keeping the agency at the forefront of disease planning and evaluation strategies. Principal of the Royal Veterinary College, Professor Stuart Reid, commented: We are excited that the College, through Professor Pfeiffer and his group, can work in partnership with APHA and contribute to work that will help to protect the UK’s livestock industry from significant disease threats that it faces. Dirk brings experience, scientific excellence and leadership to what will be an exciting opportunity for all involved in the initiative. Professor Pfeiffer is also Head of the United Nation’s Food and Agriculture Organisation’s Reference Centre in Veterinary Epidemiology at the RVC and a current member of the Exotic Disease Subgroup, Defra’s Science Advisory Council, and has extensive experience in animal disease surveillance."
/government/news/twyford-seed-supplier-herbiseed-ltd-guilty-of-phytosanitary-certificate-fraud,"Twyford based seed supplier Herbiseed Ltd, pleaded guilty to the production and use of forged phytosanitary certificates.  Twyford seed supplier, Herbiseed Ltd, guilty of phytosanitary certificate fraud  Animal and Plant Health Agency Mr Stephen Morton, of Twyford based seed supplier Herbiseed Ltd, pleaded guilty to the production and use of forged phytosanitary certificates for seed export purposes at Reading Crown Court following a successful prosecution by the Department for Environment, Food & Rural Affairs (Defra). The defendant received 3 concurrent prison sentences, suspended for 2 years, ranging from 12 to 24 months, and was ordered to undertake 300 hours unpaid community work. At a separate confiscation hearing on 29 July 2015, a confiscation order was made for just over £100,000 to be paid within three months. The penalty for non-payment is a 24-month prison sentence. Phytosanitary certificates are official documents that are usually required when exporting plants and plant material (including seed) to a country outside the EU. They are produced to recognised international standards to reassure importers that plant material has been inspected and found to be free of potentially damaging pests and diseases. Commenting on the outcome of the case, Mr Kelvin Hughes, Chief Plant Health and Seeds Inspector at the Animal and Plant Health Agency ( APHA ) said: The extent of the sentence received by Mr Morton reflects the serious nature of these offences. The use of fraudulent phytosanitary certificates could lead to damage to the importing country’s economy, agriculture and environment if plant pests or disease were present the imported goods, and could also damage associated UK trade with that country. By forging these certificates Mr Morton attempted to gain an advantage in both time and cost over compliant competitors. Our Plant Health and Seeds Inspectors work very closely with National Plant Protection Organisations in other countries and the success of this prosecution demonstrates that we have robust systems in place to help prevent and detect such fraudulent activities. Mr Morton was charged with 2 counts under the Fraud Act 2006 and one count under the Forgery & Counterfeiting Act 1981, relating to the forgery of 38 phytosanitary certificates for seed exports to Japan and the USA."
/guidance/sheep-scab,"How to spot sheep scab, what to do if you suspect it and control measures to prevent its spread. Sheep scab: how to spot and report the disease  Animal and Plant Health Agency Department for Environment, Food & Rural Affairs In Scotland sheep scab is a notifiable disease. That means if you suspect it you must tell the Animal and Plant Agency ( APHA ) immediately. Failure to do so is an offence. In England, Wales and Scotland local authorities can force you to treat your sheep or take other action if the disease is present in your flock and you don’t take appropriate steps. Sheep scab only affects sheep. Humans aren’t affected. The disease is currently present in Great Britain. How to spot sheep scab Sheep scab is caused by mites living in sheep’s fleeces or hair. The mites and their faeces cause intense itching which can lead to sheep: rubbing and scratching against fence posts nibbling and biting at their fleeces That means you should look out for: dirty areas of fleece from scratching hair, especially behind the shoulder clean areas of fleece, where sheep have nibbled broken areas of fleece on the sides of sheep from biting and scratching Affected sheep can be extremely sensitive to being touched. They may respond by nibbling. Affected sheep may also become dull and depressed and stand apart from the rest of the flock. Other skin conditions in sheep cause similar affects to sheep scab. You should seek advice from a vet as soon as possible. How sheep scab is spread Sheep scab is mainly spread by direct contact between sheep. The mites that cause the disease can also be picked up from fences, posts and trees that infected sheep rub against. Mites can also be spread on the clothing and equipment of sheep handlers. Preventing and controlling sheep scab Preventing sheep scab You should practise strict biosecurity on your premises. If you suspect sheep scab Prompt treatment is required. Contact your vet for advice. In Scotland you must also tell your nearest APHA office immediately. If sheep scab is confirmed Local authorities have the power to force you to treat your sheep or take other action if one of your animals has sheep scab and you do not take appropriate action. In Scotland a local authority or APHA inspector can also make you pay for a vet to inspect your sheep if he or she suspects the disease is present among your flock. Further information on prevention and control Controls to prevent disease What happens when a notifiable disease is suspected or confirmed Legislation relating to sheep scab The Sheep Scab Order 1997 gives local authorities powers to control the disease if owners of affected sheep don’t take appropriate measures voluntarily. The Sheep Scab (Scotland) Order 2010 makes the disease notifiable in Scotland."
/government/collections/guides-and-forms-for-plant-varieties-and-seeds-applications,"Guidance, application forms and protocols for plant breeders' rights, national listing, seed certification and farmed saved seed.  Guides and forms for plant varieties and seeds applications  Animal and Plant Health Agency  Plant breeders’ rights: guidance Guidance on how to apply for plant breeders’ rights and what protection it gives your plant varieties. Plant breeders’ rights: forms Forms to apply for plant breeders’ rights. Plant variety national listings: guidance Guidance on how to apply for national listing of agricultural and vegetable plant varieties in the UK. Plant variety national listings: forms Forms to apply for national listing of agricultural and vegetable plant varieties in the UK. Plant variety national listings: protocols Protocols for national listing of agricultural and vegetable plant varieties in the UK. Plant variety national listings: gazette Information on practices and procedures covered under National List Regulations. Seed certification: guidance Guidance on how to get your seeds certified and get a licence for your seed business. This includes seed legislation, procedures, technical standards and appeals. Seed certification: forms Forms to get your seeds certified. Crop inspections and seed sampling Guidance and forms on how to get a licence for your seed business. Farmed saved seed Guidance on farm saved seed rules, eligible species for payment and how to declare and make payments online."
/guidance/african-horse-sickness,"How to spot African horse sickness, what to do if you suspect it and measures to prevent its spread. African horse sickness: how to spot and report the disease  Animal and Plant Health Agency Department for Environment, Food & Rural Affairs African horse sickness affects horses. It doesn’t affect humans. There has never been an outbreak in Great Britain. African horse sickness is a notifiable disease. That means if you suspect it you must tell the Animal and Plant and Health Agency ( APHA ) immediately. Failure to do so is an offence. How to spot African horse sickness Signs of African horse sickness may include: swelling and redness around the eyes and elsewhere on the face frothing and discharge from nostrils fever slow and heavy breathing coughing swollen face How African horse sickness is spread African horse sickness is carried and spread by midges. It’s not spread directly between horses. Preventing and controlling African horse sickness You can help prevent disease by practising strict biosecurity on your premises. If you report suspicion of African horse sickness APHA vets will investigate. If African horse sickness is confirmed, the outbreak will be controlled in line with the contingency plan for exotic notifiable diseases and the African horse sickness control strategy. Further information on prevention and control Controls to prevent disease What happens when a notifiable disease is suspected or confirmed African horse sickness - how to spot the disease Legislation relating to African horse sickness The main domestic legislation on African horse sickness is the African Horse Sickness (England) Regulations 2012"
/government/organisations/animal-and-plant-health-agency/about/our-governance,"The main decision-making and management committees at APHA.   Animal and Plant Health Agency – Our governance  Animal and Plant Health Agency APHA Board The board meets 6 times a year. It’s responsible for: setting the strategic direction of the agency making sure the agency meets its targets managing risk managing how we work and communicate with Department of Environment, Food and Rural Affairs ( Defra ) and the Welsh and Scottish governments It’s chaired by a lead Non-Executive Director which is currently vacant so as agreed with Defra they are chaired by the APHA Chief Executive. The other members are: Vacancy, Non-Executive Chair Vacancy, Non-Executive Director David Hughes, Non-Executive Director Nigel Gibbens, Chief Veterinary Officer Nicola Spence, Chief Plant Health Officer Chris Hadkiss, Chief Executive Claire Evans, Director of Corporate Services Kirsty Shaw, Director of Service Delivery Simon Hall, Veterinary Director Kath Webster, Director of Scientific Services Helen Crews, Director of Plant and Bee Health Jill Moray, Defra HR APHA Audit and Risk Committee The committee meets 4 times a year. It’s responsible for: supporting the board in managing risk assessing the agency’s performance reviewing the agency’s financial management reporting the results of the internal and external audits to the board It’s chaired by David Hughes, Non-Executive Director and other members are: Vacancy, Lead Non-Executive Director Anne Tutt, Non-Executive Director Regular attendees at the meeting are: Chris Hadkiss, Chief Executive Claire Evans, Director of Corporate Services APHA Head of Finance Defra Internal Audit APHA Auditors - KPMG National Audit Office APHA Directorate Leadership Team (DLT) The DLT meets fortnightly and is responsible for: the day-to-day running of APHA implementing improvements monitoring delivery against targets authorising and managing the agency’s change programme It is chaired by Chris Hadkiss, APHA ’s Chief Executive. The other members are: Claire Evans, Director of Corporate Services Kirsty Shaw, Director of Service Delivery Simon Hall, Veterinary Director Kath Webster, Director of Scientific Services Helen Crews, Director of Plant and Bee Health Jill Moray, Defra HR APHA Finance and Performance Committee The committee meets monthly. It supports the APHA Board and Accounting Officer in their responsibilities for the agency’s financial management and performance, and the operational and financial reporting to the APHA Board, Defra and the Scottish and Welsh Government. It’s chaired by David Hughes, Non-Executive Director. The other members are: Vacancy – Lead Non-Executive Director Claire Evans, Director of Corporate Services Kirsty Shaw, Director of Service Delivery Kath Webster, Director of Scientific Services Helen Crews, Director of Plant and Bee Health APHA Science Advisory Board The board meets 4 times a year. It supports the APHA Board and Accounting Officer in their responsibilities for the oversight and assurance of APHA scientific work. It’s chaired by a Non-Executive Director. Other members are from a range of external scientists and experts working on veterinary and government science and research. APHA Strategic Health and Safety Committee The committee meets quarterly. It supports the APHA Board (and also reports to the DLT). It oversees the implementation of APHA ’s health and safety strategy to ensure the agency continually looks to raise standards and improve the health and safety culture. The committee resolves and decides on matters within its remit and escalates unresolved issues to the DLT. It’s chaired by the APHA Chief Executive. The APHA Corporate Health and Safety Advisor is the deputy chair. Its members include senior managers representing different areas of the agency. The Customer Board The Customer Board considers the strategic priorities and future direction of APHA policy customer requirements, and provides a route for any strategic issues identified at country/policy meetings. It also advises the APHA Chief Executive on decision-making and managing the relationship with Defra , and the Scottish and Welsh Governments. The role of the chair rotates around members which include: APHA Chief Executive UK Chief Veterinary Officer Chief Veterinary Officer Scotland Chief Veterinary Officer Wales UK Chief Plant Health Officer Other attendees include senior managers representing APHA , Defra , Scottish and Welsh Government. APHA Board and Committee meetings [InlineAttachment:1]"
/government/publications/african-horse-sickness-in-horses-in-south-africa,"Preliminary outbreak assessments for African horse sickness in horses in South Africa. African horse sickness in horses in South Africa  Department for Environment, Food & Rural Affairs Animal and Plant Health Agency Preliminary outbreak assessments for African horse sickness in horses in South Africa."
/government/publications/national-list-and-plant-breeders-rights-authorisation-of-agent,"Form to authorise the use of an agent for an application to add a plant variety to the National List or for plant breeders' rights. National List and plant breeders' rights: authorisation of agent  Animal and Plant Health Agency An agent may be appointed to manage the application process to add a plant variety to the UK National Lists. This form should be completed to authorise this appointment. The same form should also be completed to authorise the use of an agent to apply for plant breeders’ rights. For further information, see the guidance on the National Listing of agricultural and vegetable crops and the guidance on plant breeders’ rights ."
/government/publications/seed-sampling-instructions,"Instructions for seed samplers on seed certification in England and Wales. Seed sampling: instructions Crops and horticulture  Animal and Plant Health Agency This document is for licensed seed samplers to help them in their official duties. It provides instructions on seed sampling as part of the seed certification process in England and Wales. It provides guidance on: conditions and functions of a licensed seed sampler preparations before sampling sampling, sealing and labelling of seed lots dual sampling mixtures small packages"
/government/publications/request-for-personal-data-held-by-ahvla,"Form to request personal data held by Animal and Plant Health (APHA) which is needed for a criminal investigation or tax assessment. Request for personal data held by APHA  Animal and Plant Health Agency This form should be used to request personal information held by APHA under Section 29 of the Data Protection Act 1998. It applies to data needed for the following: prevention or detection of crime apprehension or prosecution of offenders assessment or collection of tax, duty etc. If you want to request personal information concerning yourself as an individual, please refer to the APHA Personal Information Charter ."
