0,[(u'annual report', 0.00024295613658058309), (u'rural payments agency annual report', 0.0001796786215985283), (u'payments agency annual report', 0.0001796786215985283), (u'rural payments agency', 0.00017458845184384578), (u'payments agency', 0.00017458845184384494), (u'rural payments', 0.00017374636125236685), (u'private storage', 0.00016353613495256923), (u'storage aid', 0.00012409734770701212)]
1,[(u'conservation advice', 0.00070009279762370074), (u'natural england', 0.00064487405448043062), (u'marine conservation', 0.00035230795651065714), (u'advice packages', 0.00032224905489238966), (u'marine conservation advice', 0.00030614024022277531), (u'management organisation', 0.00029330991767822996), (u'coastguard agency', 0.00028734682618958811), (u'marine management', 0.00024701723175909177)]
2,[(u'[ inlineattachment', 0.00018146812888100529), (u'information about the work', 0.00017013303816359156), (u'more information about the work', 0.00016948696080691195), (u'] [ inlineattachment', 0.00016927833814275539), (u'data for england', 0.00015262850893756554), (u'quarterly lists', 0.00013864546236333429), (u'gift/NN', 0.00011084057255951615), (u'spending over ps500', 0.00011019412706463435)]
3,[(u'deg/NN', 0.00049803204202147184), (u'mmo rtc', 0.00018178830665144561), (u'uk vessels', 0.00016603081504901958), (u'countryside stewardship', 0.00014237699238653872), (u'import quotas', 0.00014016828243138324), (u'effort use', 0.00011177572670505005), (u'demersal trawls', 0.00011064158243735659), (u'management organisation', 0.00010672019454506924)]
4,[(u'industrial emissions', 0.0007529049687553794), (u'coastal access', 0.00060896739405693397), (u'coast path', 0.00053209811516272566), (u'england coast', 0.00049995154602582676), (u'natural england', 0.00048244517235440323), (u'england coast path', 0.00048176499219292215), (u'permit/NN', 0.00046007747058143426), (u'installation name', 0.00037929789635705375)]
5,[(u'risk management', 0.00018007843501629343), (u'river basin', 0.00017820795308458041), (u'environment agency', 0.00017001957453097541), (u'flood risk', 0.00016913741176806176), (u'coal mining', 0.00015060635851655747), (u'surface coal', 0.00010987862844754825), (u'basin district', 0.00010929650379803311), (u'document operator', 0.00010719697923642878)]
6,[(u'coastguard agency', 0.00021509953033642734), (u'fishing vessels', 0.00021274330448573732), (u'maritime/JJ', 0.0001426189717563907), (u'ship/NN', 0.00012926414525915282), (u'agency notice', 0.00012153266942694686), (u'coastguard agency notice', 0.00012148310253796437), (u'vessel/NN', 0.00011263680697746994), (u'labour convention', 0.00010931459066097544)]
7,[(u'access land', 0.00076604359859693244), (u'rural payments', 0.00067387643463314773), (u'open access', 0.00061707035333969664), (u'rural payments agency', 0.00052585731595430733), (u'payments agency', 0.00052585731595423805), (u'open access land', 0.00030962955606495413), (u'comments. open access', 0.00030283225277514376), (u'consultation summary for information', 0.00030002237435770759)]
8,[(u'green deal', 0.00034858644521772864), (u'climate change', 0.00030330208343546723), (u'natural england', 0.00029740047840556057), (u'department of energy', 0.00019822890393479095), (u'low carbon', 0.00017150796039889485), (u'energy/NN', 0.0001419925789607205), (u'energy efficiency', 0.00013942424239412823), (u'secretary of state', 0.00013804961111397321)]
9,[(u'environment agency', 0.0009778114526975796), (u'waste operations', 0.00043453984572661695), (u'environmental permit', 0.00033441006180233814), (u'national nature', 0.00031690407510955618), (u'industrial emissions', 0.00031570069077889305), (u'permit/NN', 0.00030918280041483329), (u'natural england', 0.00030228946831254322), (u'flood risk', 0.00028936488234027687)]
