0,[(u'yn/NN', 5.1130630168185646e-05), (u'abstraction/NN', 3.6497812871913782e-05), (u'request/NN', 3.2197114142040014e-05), (u'radioactive/JJ', 2.5461453322139584e-05), (u'decc workforce', 2.1880254103438944e-05), (u'licensing strategy', 2.1470842336592864e-05), (u'mae/NN', 2.0683981316922278e-05), (u'correspondence/NN', 2.049563398931138e-05)]
1,[(u'coal/NN', 5.5448809262865835e-05), (u'waste/NN', 5.1931804550471575e-05), (u'mining/NN', 3.441662693151893e-05), (u'surface/NN', 2.8417628712102825e-05), (u'import quota', 2.4697135624147493e-05), (u'coal mining', 2.3987798438129675e-05), (u'risk/NN', 2.0193014814941247e-05), (u'surface coal', 1.9286775298814973e-05)]
2,[(u'price/NN', 6.0920798847510426e-05), (u'unleaded/JJ', 5.9508622379784957e-05), (u'statistic/NN', 4.5719323746371143e-05), (u'unleaded petrol', 3.9806227323438906e-05), (u'petrol/NN', 3.8462415279884108e-05), (u'diesel/NN', 3.7819805638514002e-05), (u'energy/NN', 2.9102441782318278e-05), (u'price close energy climate change', 2.4723651195576287e-05)]
3,[(u'energy trend', 3.9906754372518812e-05), (u'trend/NN', 3.4467361700493233e-05), (u'special feature article', 3.4081834855919051e-05), (u'feature article', 3.3991964545467152e-05), (u'special feature', 3.3434368783106441e-05), (u'article/NN', 2.4396880046361893e-05), (u'edition energy trend', 2.4158399327215319e-05), (u'edition energy', 2.4158399327215319e-05)]
4,[(u'deg/NN', 0.00011603584085261557), (u'deg deg', 0.00011593625279388191), (u'deg deg deg', 0.00010121446379187739), (u'deg deg deg deg', 8.6492674790179881e-05), (u'deg deg deg deg deg', 7.1770885789004753e-05), (u'quota/NN', 3.5097561806062357e-05), (u'fishery statistic', 3.2802807387163002e-05), (u'fishing/NN', 3.2412243612807031e-05)]
5,[(u'flood/NN', 8.511712773442138e-05), (u'river/NN', 7.5763185893052754e-05), (u'restriction/NN', 6.5366963449146564e-05), (u'river thame', 5.494629521932039e-05), (u'environment agency', 4.4902118345118371e-05), (u'river thame restriction', 3.9423099740779294e-05), (u'thame restriction', 3.9423099740779294e-05), (u'gift/NN', 3.5784823480600558e-05)]
6,[(u'underway improve coastal', 1.8232124928851241e-05), (u'underway improve coastal access', 1.8232124928851241e-05), (u'underway improve', 1.805251970385916e-05), (u'carry stretch coast', 1.7599944205749342e-05), (u'carry stretch', 1.7254283875435838e-05), (u'path plan', 1.7081000687577604e-05), (u'coast path plan', 1.7081000687577604e-05), (u'coastal access coast path', 1.3532871541330957e-05)]
7,[(u'permit/NN', 0.00035017116706435723), (u'permit issue', 0.00022002304799774981), (u'industrial emission directive', 0.00015278713567445313), (u'emission directive', 0.00015264380558924326), (u'industrial emission', 0.00015259073099028179), (u'environment agency', 0.00014170145626639214), (u'industrial/JJ', 0.00012909010110661424), (u'directive/NN', 0.00012536300490133533)]
8,[(u'import quota', 3.3088368042069239e-05), (u'poultrymeat import quota', 3.2192735880644356e-05), (u'poultrymeat import', 3.2192735880644356e-05), (u'quantity available', 2.961228455199557e-05), (u'poultrymeat/NN', 2.3374134428115215e-05), (u'quantity available round', 1.863793732601357e-05), (u'import quota rural payment', 1.8377756821483857e-05), (u'import quota rural', 1.8377756821483857e-05)]
9,[(u'natural/JJ', 0.00026660087926206201), (u'access/NN', 0.00019686223771939101), (u'energy/NN', 0.00018785535551846014), (u'payment/NN', 0.00017788458434496909), (u'advice/NN', 0.00014257422990279092), (u'report/NN', 0.00013578010344072713), (u'agency/NN', 0.00013549472013227356), (u'consultation/NN', 0.00013349727140003165)]
