0,[(u'maritime/JJ', 0.00030613548456870658), (u'coastguard/NN', 0.00028336019134743217), (u'energy/NN', 0.0002378121473038796), (u'coastguard agency', 0.000234900336992882), (u'maritime coastguard', 0.00023437632699183005), (u'maritime coastguard agency', 0.00023432858657536777), (u'coastal access', 0.00022614517711217204), (u'improve coastal', 0.00016753281177885716)]
1,[(u'agency annual report account', 6.5488602131590865e-05), (u'agency annual report', 6.0262284055192271e-05), (u'welfare/NN', 2.0062954875569858e-05), (u'farm animal', 1.4957080740435428e-05), (u'farm animal welfare', 1.4126713819311162e-05), (u'animal welfare', 1.3150770253000995e-05), (u'quality plan', 1.0155341529800275e-05), (u'report account financial', 8.8821244693295667e-06)]
2,[(u'bathing/NN', 3.5172294002262803e-05), (u'bathing water', 3.3972665083804063e-05), (u'water/NN', 1.2556177321151523e-05), (u'telephone location map', 1.1523239911456532e-05), (u'telephone location', 1.1523239911456532e-05), (u'catchment data', 7.6409869435466276e-06), (u'en/NN', 7.4955360031679852e-06), (u'agency survey', 7.3364335456905366e-06)]
3,[(u'payment/NN', 0.00014161521363539246), (u'coal/NN', 0.00010824087641369829), (u'quota/NN', 0.00010807253503736274), (u'bps/NN', 9.8762728850393668e-05), (u'rural payment', 9.75180687518557e-05), (u'farmer/NN', 8.8935409994278641e-05), (u'fishing/NN', 8.195544776237466e-05), (u'landing/NN', 7.7949945425510877e-05)]
4,[(u'import quota', 0.00012076153269717426), (u'quantity available', 8.8034046192992808e-05), (u'poultrymeat import', 6.5057135700376267e-05), (u'poultrymeat import quota', 6.5057135700376267e-05), (u'quota rural', 5.946560148814884e-05), (u'quota rural payment', 5.946560148814884e-05), (u'quota rural payment agency', 5.946560148814884e-05), (u'import quota rural payment', 5.9316853742430469e-05)]
5,[(u'permit/NN', 0.00059540677268154021), (u'permit issue', 0.00039884231408202048), (u'emission/NN', 0.0002949785447503549), (u'industrial emission directive', 0.00027664842008223289), (u'emission directive', 0.00027643250661885848), (u'industrial emission', 0.00027640296122916443), (u'decision/NN', 0.00027305514935703268), (u'directive/NN', 0.00026983330993652374)]
6,[(u'deg/NN', 0.00023828035043745727), (u'deg deg', 0.00023807500097362683), (u'deg deg deg', 0.00020781103038949988), (u'deg deg deg deg', 0.00017754705980536437), (u'deg deg deg deg deg', 0.00014728308922121517), (u'mmo rtc', 4.3967306727869491e-05), (u'request/NN', 3.5361957072776089e-05), (u'mmo/NN', 3.2083706252031539e-05)]
7,[(u'payment/NN', 0.00025608325521506213), (u'rural payment', 0.00021392451366825029), (u'payment agency', 0.00020357109152588276), (u'rural payment agency', 0.00020339079260899687), (u'ship/NN', 0.00018594693219381247), (u'vessel/NN', 0.00018590207937343244), (u'scheme/NN', 0.00017275942089901673), (u'application/NN', 0.00013281909405277691)]
8,[(u'flood/NN', 0.00026688485606069998), (u'restriction/NN', 0.00022682731244202684), (u'consultation summary', 0.00020349744473405323), (u'environment agency', 0.00013143826927588173), (u'agency notice', 0.00012891539693168423), (u'river/NN', 0.00012574744203184255), (u'risk/NN', 0.00012352175313911628), (u'flood risk', 0.00011350745524607632)]
9,[(u'advice/NN', 0.00024937221569110206), (u'application/NN', 0.00023332568291184938), (u'conservation advice', 0.00022805464495532585), (u'conservation/NN', 0.00020750825777720753), (u'site/NN', 0.00015740509001558499), (u'environment agency', 0.00014859032241173656), (u'marine/NN', 0.00014795805264527598), (u'waste operation', 0.00012883013716511179)]
